Index	Label
0	6
1	4
2	1
3	9
4	2
5	8
6	3
7	4
8	7
9	9
10	4
11	5
12	9
13	7
14	3
15	7
16	7
17	9
18	7
19	9
20	8
21	2
22	2
23	3
24	8
25	2
26	4
27	5
28	6
29	9
30	9
31	8
32	6
33	7
34	6
35	5
36	7
37	8
38	9
39	6
40	8
41	3
42	3
43	1
44	0
45	4
46	7
47	0
48	2
49	8
50	1
51	9
52	3
53	1
54	1
55	5
56	8
57	8
58	8
59	4
60	3
61	4
62	1
63	1
64	7
65	5
66	0
67	1
68	8
69	7
70	8
71	3
72	9
73	0
74	8
75	0
76	1
77	1
78	0
79	1
80	0
81	3
82	2
83	1
84	2
85	6
86	6
87	9
88	6
89	4
90	8
91	6
92	7
93	7
94	9
95	9
96	4
97	7
98	6
99	1
100	1
101	3
102	6
103	5
104	1
105	3
106	2
107	4
108	5
109	6
110	3
111	1
112	9
113	6
114	3
115	6
116	8
117	6
118	4
119	3
120	9
121	4
122	6
123	2
124	8
125	6
126	4
127	1
128	8
129	9
130	2
131	7
132	0
133	1
134	0
135	4
136	2
137	9
138	3
139	1
140	1
141	4
142	9
143	3
144	4
145	7
146	5
147	9
148	5
149	4
150	5
151	6
152	1
153	3
154	4
155	6
156	5
157	2
158	4
159	7
160	1
161	1
162	3
163	2
164	0
165	1
166	8
167	4
168	4
169	0
170	0
171	0
172	6
173	3
174	7
175	4
176	9
177	8
178	2
179	2
180	7
181	3
182	1
183	7
184	1
185	0
186	8
187	3
188	1
189	4
190	1
191	2
192	5
193	4
194	1
195	9
196	0
197	0
198	7
199	1
200	8
201	4
202	7
203	7
204	2
205	2
206	0
207	3
208	4
209	7
210	1
211	8
212	6
213	4
214	9
215	1
216	4
217	6
218	1
219	6
220	0
221	7
222	6
223	4
224	8
225	1
226	2
227	4
228	0
229	9
230	0
231	5
232	1
233	0
234	9
235	5
236	7
237	5
238	6
239	1
240	5
241	0
242	7
243	5
244	4
245	3
246	7
247	6
248	0
249	4
250	7
251	9
252	0
253	3
254	6
255	4
256	1
257	6
258	3
259	6
260	9
261	2
262	2
263	6
264	2
265	8
266	1
267	1
268	2
269	2
270	3
271	4
272	5
273	9
274	4
275	0
276	1
277	7
278	7
279	0
280	2
281	1
282	7
283	7
284	7
285	7
286	8
287	3
288	7
289	0
290	6
291	3
292	0
293	3
294	1
295	7
296	1
297	4
298	4
299	6
300	6
301	8
302	8
303	2
304	8
305	2
306	3
307	5
308	2
309	0
310	2
311	7
312	8
313	7
314	7
315	0
316	5
317	3
318	6
319	6
320	4
321	4
322	1
323	4
324	3
325	4
326	6
327	6
328	1
329	5
330	7
331	1
332	6
333	4
334	9
335	7
336	1
337	9
338	7
339	9
340	8
341	1
342	4
343	3
344	9
345	9
346	7
347	0
348	1
349	4
350	5
351	8
352	9
353	9
354	1
355	9
356	1
357	3
358	7
359	2
360	3
361	7
362	9
363	6
364	8
365	1
366	5
367	9
368	1
369	5
370	0
371	3
372	8
373	7
374	0
375	4
376	2
377	5
378	9
379	7
380	0
381	6
382	8
383	0
384	0
385	6
386	2
387	3
388	2
389	3
390	1
391	7
392	1
393	3
394	8
395	8
396	7
397	3
398	4
399	5
400	6
401	9
402	9
403	7
404	9
405	2
406	3
407	3
408	9
409	0
410	2
411	0
412	8
413	6
414	7
415	2
416	5
417	6
418	0
419	6
420	3
421	7
422	2
423	7
424	9
425	7
426	9
427	1
428	1
429	0
430	3
431	3
432	6
433	0
434	1
435	0
436	2
437	3
438	8
439	4
440	7
441	9
442	8
443	4
444	1
445	5
446	4
447	2
448	0
449	8
450	8
451	4
452	7
453	7
454	3
455	6
456	0
457	4
458	1
459	0
460	7
461	6
462	3
463	5
464	4
465	0
466	3
467	4
468	4
469	2
470	2
471	9
472	3
473	1
474	6
475	5
476	5
477	8
478	6
479	7
480	4
481	0
482	5
483	0
484	5
485	0
486	2
487	2
488	1
489	7
490	4
491	1
492	6
493	6
494	3
495	6
496	2
497	4
498	1
499	5
