name,desc,latitude,longitude 
0,"RecordNo: 0, RC:0, Lat:42.450582, Long:-83.277485 ",42.450582,-83.277485
1,"RecordNo: 1, RC:0, Lat:42.450582, Long:-83.277485 ",42.450582,-83.277485
2,"RecordNo: 2, RC:32767, Lat:42.450582, Long:-83.277485 ",42.450582,-83.277485
3,"RecordNo: 3, RC:32767, Lat:42.450582, Long:-83.277485 ",42.450582,-83.277485
4,"RecordNo: 4, RC:32767, Lat:42.450582, Long:-83.277485 ",42.450582,-83.277485
5,"RecordNo: 5, RC:32767, Lat:42.450582, Long:-83.277485 ",42.450582,-83.277485
6,"RecordNo: 6, RC:32767, Lat:42.450582, Long:-83.277485 ",42.450582,-83.277485
7,"RecordNo: 7, RC:32767, Lat:42.450582, Long:-83.277485 ",42.450582,-83.277485
8,"RecordNo: 8, RC:32767, Lat:42.450582, Long:-83.277485 ",42.450582,-83.277485
9,"RecordNo: 9, RC:32767, Lat:42.450582, Long:-83.277485 ",42.450582,-83.277485
10,"RecordNo: 10, RC:32767, Lat:42.450582, Long:-83.277485 ",42.450582,-83.277485
11,"RecordNo: 11, RC:32767, Lat:42.450582, Long:-83.277485 ",42.450582,-83.277485
12,"RecordNo: 12, RC:32767, Lat:42.450582, Long:-83.277485 ",42.450582,-83.277485
13,"RecordNo: 13, RC:32767, Lat:42.450582, Long:-83.277485 ",42.450582,-83.277485
14,"RecordNo: 14, RC:32767, Lat:42.450582, Long:-83.277485 ",42.450582,-83.277485
15,"RecordNo: 15, RC:32767, Lat:42.450582, Long:-83.277485 ",42.450582,-83.277485
16,"RecordNo: 16, RC:32767, Lat:42.450582, Long:-83.277484 ",42.450582,-83.277484
17,"RecordNo: 17, RC:32767, Lat:42.450582, Long:-83.277484 ",42.450582,-83.277484
18,"RecordNo: 18, RC:32767, Lat:42.450582, Long:-83.277484 ",42.450582,-83.277484
19,"RecordNo: 19, RC:32767, Lat:42.450582, Long:-83.277484 ",42.450582,-83.277484
20,"RecordNo: 20, RC:32767, Lat:42.450582, Long:-83.277484 ",42.450582,-83.277484
21,"RecordNo: 21, RC:32767, Lat:42.450582, Long:-83.277484 ",42.450582,-83.277484
22,"RecordNo: 22, RC:32767, Lat:42.450582, Long:-83.277484 ",42.450582,-83.277484
23,"RecordNo: 23, RC:32767, Lat:42.450582, Long:-83.277484 ",42.450582,-83.277484
24,"RecordNo: 24, RC:32767, Lat:42.450582, Long:-83.277484 ",42.450582,-83.277484
25,"RecordNo: 25, RC:32767, Lat:42.450582, Long:-83.277484 ",42.450582,-83.277484
26,"RecordNo: 26, RC:32767, Lat:42.450582, Long:-83.277484 ",42.450582,-83.277484
27,"RecordNo: 27, RC:32767, Lat:42.450582, Long:-83.277484 ",42.450582,-83.277484
28,"RecordNo: 28, RC:32767, Lat:42.450582, Long:-83.277483 ",42.450582,-83.277483
29,"RecordNo: 29, RC:1, Lat:42.450582, Long:-83.277483 ",42.450582,-83.277483
30,"RecordNo: 30, RC:1, Lat:42.450582, Long:-83.277483 ",42.450582,-83.277483
31,"RecordNo: 31, RC:1, Lat:42.450582, Long:-83.277482 ",42.450582,-83.277482
32,"RecordNo: 32, RC:2, Lat:42.450582, Long:-83.277482 ",42.450582,-83.277482
33,"RecordNo: 33, RC:2, Lat:42.450582, Long:-83.277482 ",42.450582,-83.277482
34,"RecordNo: 34, RC:2, Lat:42.450582, Long:-83.277482 ",42.450582,-83.277482
35,"RecordNo: 35, RC:2, Lat:42.450582, Long:-83.277481 ",42.450582,-83.277481
36,"RecordNo: 36, RC:2, Lat:42.450582, Long:-83.277481 ",42.450582,-83.277481
37,"RecordNo: 37, RC:2, Lat:42.450582, Long:-83.277481 ",42.450582,-83.277481
38,"RecordNo: 38, RC:2, Lat:42.450582, Long:-83.277481 ",42.450582,-83.277481
39,"RecordNo: 39, RC:2, Lat:42.450582, Long:-83.277479 ",42.450582,-83.277479
40,"RecordNo: 40, RC:3, Lat:42.450582, Long:-83.277479 ",42.450582,-83.277479
41,"RecordNo: 41, RC:3, Lat:42.450582, Long:-83.277479 ",42.450582,-83.277479
42,"RecordNo: 42, RC:3, Lat:42.450582, Long:-83.277479 ",42.450582,-83.277479
43,"RecordNo: 43, RC:3, Lat:42.450582, Long:-83.277478 ",42.450582,-83.277478
44,"RecordNo: 44, RC:4, Lat:42.450582, Long:-83.277478 ",42.450582,-83.277478
45,"RecordNo: 45, RC:4, Lat:42.450582, Long:-83.277478 ",42.450582,-83.277478
46,"RecordNo: 46, RC:4, Lat:42.450582, Long:-83.277478 ",42.450582,-83.277478
47,"RecordNo: 47, RC:4, Lat:42.450582, Long:-83.277476 ",42.450582,-83.277476
48,"RecordNo: 48, RC:4, Lat:42.450582, Long:-83.277476 ",42.450582,-83.277476
49,"RecordNo: 49, RC:4, Lat:42.450582, Long:-83.277476 ",42.450582,-83.277476
50,"RecordNo: 50, RC:4, Lat:42.450582, Long:-83.277476 ",42.450582,-83.277476
51,"RecordNo: 51, RC:4, Lat:42.450582, Long:-83.277473 ",42.450582,-83.277473
52,"RecordNo: 52, RC:5, Lat:42.450582, Long:-83.277473 ",42.450582,-83.277473
53,"RecordNo: 53, RC:5, Lat:42.450582, Long:-83.277473 ",42.450582,-83.277473
54,"RecordNo: 54, RC:5, Lat:42.450582, Long:-83.277471 ",42.450582,-83.277471
55,"RecordNo: 55, RC:5, Lat:42.450582, Long:-83.277471 ",42.450582,-83.277471
56,"RecordNo: 56, RC:5, Lat:42.450582, Long:-83.277471 ",42.450582,-83.277471
57,"RecordNo: 57, RC:5, Lat:42.450582, Long:-83.277471 ",42.450582,-83.277471
58,"RecordNo: 58, RC:5, Lat:42.450582, Long:-83.277468 ",42.450582,-83.277468
59,"RecordNo: 59, RC:7, Lat:42.450582, Long:-83.277468 ",42.450582,-83.277468
60,"RecordNo: 60, RC:7, Lat:42.450582, Long:-83.277468 ",42.450582,-83.277468
61,"RecordNo: 61, RC:7, Lat:42.450582, Long:-83.277468 ",42.450582,-83.277468
62,"RecordNo: 62, RC:7, Lat:42.450582, Long:-83.277466 ",42.450582,-83.277466
63,"RecordNo: 63, RC:7, Lat:42.450582, Long:-83.277466 ",42.450582,-83.277466
64,"RecordNo: 64, RC:7, Lat:42.450582, Long:-83.277466 ",42.450582,-83.277466
65,"RecordNo: 65, RC:7, Lat:42.450582, Long:-83.277466 ",42.450582,-83.277466
66,"RecordNo: 66, RC:7, Lat:42.450581, Long:-83.277461 ",42.450581,-83.277461
67,"RecordNo: 67, RC:9, Lat:42.450581, Long:-83.277461 ",42.450581,-83.277461
68,"RecordNo: 68, RC:9, Lat:42.450581, Long:-83.277461 ",42.450581,-83.277461
69,"RecordNo: 69, RC:9, Lat:42.450581, Long:-83.277461 ",42.450581,-83.277461
70,"RecordNo: 70, RC:9, Lat:42.450581, Long:-83.277456 ",42.450581,-83.277456
71,"RecordNo: 71, RC:10, Lat:42.450581, Long:-83.277456 ",42.450581,-83.277456
72,"RecordNo: 72, RC:10, Lat:42.450581, Long:-83.277456 ",42.450581,-83.277456
73,"RecordNo: 73, RC:10, Lat:42.450581, Long:-83.277456 ",42.450581,-83.277456
74,"RecordNo: 74, RC:10, Lat:42.450581, Long:-83.277452 ",42.450581,-83.277452
75,"RecordNo: 75, RC:11, Lat:42.450581, Long:-83.277452 ",42.450581,-83.277452
76,"RecordNo: 76, RC:11, Lat:42.450581, Long:-83.277452 ",42.450581,-83.277452
77,"RecordNo: 77, RC:11, Lat:42.450581, Long:-83.277447 ",42.450581,-83.277447
78,"RecordNo: 78, RC:12, Lat:42.450581, Long:-83.277447 ",42.450581,-83.277447
79,"RecordNo: 79, RC:12, Lat:42.450581, Long:-83.277447 ",42.450581,-83.277447
80,"RecordNo: 80, RC:12, Lat:42.450581, Long:-83.277447 ",42.450581,-83.277447
81,"RecordNo: 81, RC:12, Lat:42.450581, Long:-83.277442 ",42.450581,-83.277442
82,"RecordNo: 82, RC:14, Lat:42.450581, Long:-83.277442 ",42.450581,-83.277442
83,"RecordNo: 83, RC:14, Lat:42.450581, Long:-83.277442 ",42.450581,-83.277442
84,"RecordNo: 84, RC:14, Lat:42.450581, Long:-83.277442 ",42.450581,-83.277442
85,"RecordNo: 85, RC:14, Lat:42.450581, Long:-83.277433 ",42.450581,-83.277433
86,"RecordNo: 86, RC:15, Lat:42.450581, Long:-83.277433 ",42.450581,-83.277433
87,"RecordNo: 87, RC:15, Lat:42.450581, Long:-83.277433 ",42.450581,-83.277433
88,"RecordNo: 88, RC:15, Lat:42.450581, Long:-83.277433 ",42.450581,-83.277433
89,"RecordNo: 89, RC:15, Lat:42.450581, Long:-83.277423 ",42.450581,-83.277423
90,"RecordNo: 90, RC:18, Lat:42.450581, Long:-83.277423 ",42.450581,-83.277423
91,"RecordNo: 91, RC:18, Lat:42.450581, Long:-83.277423 ",42.450581,-83.277423
92,"RecordNo: 92, RC:18, Lat:42.450581, Long:-83.277423 ",42.450581,-83.277423
93,"RecordNo: 93, RC:18, Lat:42.450580, Long:-83.277412 ",42.45058,-83.277412
94,"RecordNo: 94, RC:20, Lat:42.450580, Long:-83.277412 ",42.45058,-83.277412
95,"RecordNo: 95, RC:20, Lat:42.450580, Long:-83.277412 ",42.45058,-83.277412
96,"RecordNo: 96, RC:20, Lat:42.450580, Long:-83.277412 ",42.45058,-83.277412
97,"RecordNo: 97, RC:20, Lat:42.450580, Long:-83.277399 ",42.45058,-83.277399
98,"RecordNo: 98, RC:20, Lat:42.450580, Long:-83.277399 ",42.45058,-83.277399
99,"RecordNo: 99, RC:20, Lat:42.450580, Long:-83.277399 ",42.45058,-83.277399
100,"RecordNo: 100, RC:20, Lat:42.450580, Long:-83.277387 ",42.45058,-83.277387
101,"RecordNo: 101, RC:21, Lat:42.450580, Long:-83.277387 ",42.45058,-83.277387
102,"RecordNo: 102, RC:21, Lat:42.450580, Long:-83.277387 ",42.45058,-83.277387
103,"RecordNo: 103, RC:21, Lat:42.450580, Long:-83.277387 ",42.45058,-83.277387
104,"RecordNo: 104, RC:21, Lat:42.450579, Long:-83.277373 ",42.450579,-83.277373
105,"RecordNo: 105, RC:23, Lat:42.450579, Long:-83.277373 ",42.450579,-83.277373
